date,tag,release name,asset name,downloads
2026-01-08T00:28:31Z,v0.4.8,Release v0.4.8,zotero-syllabus.xpi,191
2026-01-07T12:18:19Z,v0.4.7,Release v0.4.7,zotero-syllabus.xpi,43
2026-01-07T04:16:31Z,v0.4.5,Release v0.4.5,zotero-syllabus.xpi,25
2026-01-07T04:11:17Z,v0.4.4,Release v0.4.4,zotero-syllabus.xpi,3
2026-01-07T01:24:05Z,v0.4.3,Release v0.4.3,zotero-syllabus.xpi,6
2026-01-07T01:12:07Z,v0.4.2,Release v0.4.2,zotero-syllabus.xpi,2
2026-01-06T22:44:29Z,v0.4.1,Release v0.4.1,zotero-syllabus.xpi,3
2026-01-06T02:46:02Z,v0.4.0,Release v0.4.0,zotero-syllabus.xpi,33
2026-01-03T01:09:27Z,v0.3.7,Release v0.3.7,zotero-syllabus.xpi,52
2026-01-01T20:02:24Z,v0.3.6,Release v0.3.6,zotero-syllabus.xpi,32
2026-01-01T19:44:55Z,v0.3.5,Release v0.3.5,zotero-syllabus.xpi,7
2026-01-01T17:13:08Z,v0.3.4,Release v0.3.4,zotero-syllabus.xpi,7
2026-01-01T17:02:27Z,v0.3.3,Release v0.3.3,zotero-syllabus.xpi,4
2025-12-31T20:06:00Z,v0.3.2,Release v0.3.2,zotero-syllabus.xpi,20
2025-12-31T19:55:58Z,v0.3.1,Release v0.3.1,zotero-syllabus.xpi,4
2025-12-31T19:45:56Z,v0.3.0,Release v0.3.0,zotero-syllabus.xpi,3
2025-12-30T02:09:36Z,v0.2.11,Release v0.2.11,zotero-syllabus.xpi,32
2025-12-29T01:08:11Z,v0.2.8,Release v0.2.8,zotero-syllabus.xpi,23
2025-12-28T04:01:29Z,v0.2.7,Release v0.2.7,zotero-syllabus.xpi,26
2025-12-28T02:36:17Z,v0.2.6,Release v0.2.6,zotero-syllabus.xpi,6
2025-12-28T02:24:22Z,v0.2.5,Release v0.2.5,zotero-syllabus.xpi,3
2025-12-28T02:04:37Z,v0.2.4,Release v0.2.4,zotero-syllabus.xpi,4
2025-12-28T01:29:07Z,v0.2.3,Release v0.2.3,zotero-syllabus.xpi,4
2025-12-28T01:11:55Z,v0.2.2,Release v0.2.2,zotero-syllabus.xpi,4
2025-12-28T01:04:14Z,v0.2.0,Release v0.2.0,zotero-syllabus.xpi,3
2025-12-28T01:04:12Z,v0.2.1,Release v0.2.1,zotero-syllabus.xpi,4
2025-12-26T14:00:38Z,v0.1.12,Release v0.1.12,zotero-syllabus.xpi,32
2025-12-26T11:49:51Z,v0.1.11,Release v0.1.11,zotero-syllabus.xpi,9
2025-12-26T06:54:23Z,v0.1.10,Release v0.1.10,zotero-syllabus.xpi,6
2025-12-26T01:33:20Z,v0.1.8,Release v0.1.8,zotero-syllabus.xpi,6
2025-12-25T11:54:44Z,v0.1.7,Release v0.1.7,zotero-syllabus.xpi,5
2025-12-25T11:14:46Z,v0.1.6,Release v0.1.6,zotero-syllabus.xpi,3
